;115;15.7534%
Afanasy;1;0.136986%
9;1;0.136986%
8;1;0.136986%
5;1;0.136986%
4;1;0.136986%
19th;1;0.136986%
1893;1;0.136986%
1867;1;0.136986%
1866;1;0.136986%
1865;1;0.136986%
1861;1;0.136986%
12;1;0.136986%
119;1;0.136986%
11;1;0.136986%
